id,grupo_bouzon_2005,taxon_original,taxon_curado,chave_taxonomica,status_curadoria,motivo_pendencia,incluir_publicacao
1,Chlorophyta,Blindingia marginata,Blidingia marginata,blidingiamarginata,aprovado,,sim
2,Chlorophyta,Bryopsis sp.,Bryopsis sp.,bryopsissp,revisar,epiteto_indeterminado,sim
3,Chlorophyta,Chaetomorpha aerea,Chaetomorpha aerea,chaetomorphaaerea,aprovado,,sim
4,Chlorophyta,C. antennina,Chaetomorpha antennina,chaetomorphaantennina,aprovado,,sim
5,Chlorophyta,C. gracilis,Chaetomorpha gracilis,chaetomorphagracilis,aprovado,,sim
6,Chlorophyta,Cladophora albida,Cladophora albida,cladophoraalbida,aprovado,,sim
7,Chlorophyta,C. coelothrix,Cladophora coelothrix,cladophoracoelothrix,aprovado,,sim
8,Chlorophyta,C. dalmatica,Cladophora dalmatica,cladophoradalmatica,aprovado,,sim
9,Chlorophyta,C. montagneana,Cladophora montagneana,cladophoramontagneana,aprovado,,sim
10,Chlorophyta,C. prolifera,Cladophora prolifera,cladophoraprolifera,aprovado,,sim
11,Chlorophyta,C. sp.,Cladophora sp.,cladophorasp,revisar,epiteto_indeterminado,sim
12,Chlorophyta,C. vagabunda,Cladophora vagabunda,cladophoravagabunda,aprovado,,sim
13,Chlorophyta,Cladophoropsis membrenacea,Cladophoropsis membranacea,cladophoropsismembranacea,aprovado,,sim
14,Chlorophyta,Codium decorticatum,Codium decorticatum,codiumdecorticatum,aprovado,,sim
15,Chlorophyta,C. taylorii,Codium taylorii,codiumtaylorii,aprovado,,sim
16,Chlorophyta,Derbesia marina,Derbesia marina,derbesiamarina,aprovado,,sim
17,Chlorophyta,Rhizoclonium riparium,Rhizoclonium riparium,rhizocloniumriparium,aprovado,,sim
18,Chlorophyta,Enteromorpha clathrata,Ulva clathrata,ulvaclathrata,aprovado,,sim
19,Chlorophyta,E. compressa,Ulva compressa,ulvacompressa,aprovado,,sim
20,Chlorophyta,Ulva fasciata,Ulva fasciata,ulvafasciata,aprovado,,sim
21,Chlorophyta,E. flexuosa,Ulva flexuosa,ulvaflexuosa,aprovado,,sim
22,Chlorophyta,U. lactuca,Ulva lactuca,ulvalactuca,aprovado,,sim
23,Chlorophyta,E. lingulata,Ulva lingulata,ulvalingulata,aprovado,,sim
24,Chlorophyta,E. linza,Ulva linza,ulvalinza,aprovado,,sim
25,Chlorophyta,E. sp.,Ulva sp.,ulvasp,revisar,epiteto_indeterminado,sim
26,Chlorophyta,Willella ordinata.,Willella ordinata,willellaordinata,aprovado,,sim
27,Phaeophyceae,Acinetospora crinita,Acinetospora crinita,acinetosporacrinita,aprovado,,sim
28,Phaeophyceae,Asteronema breviarticulatus,Asteronema breviarticulatus,asteronemabreviarticulatus,aprovado,,sim
29,Phaeophyceae,Bachelotia antillarum,Bachelotia antillarum,bachelotiaantillarum,aprovado,,sim
30,Phaeophyceae,Colpomenia sinuosa,Colpomenia sinuosa,colpomeniasinuosa,aprovado,,sim
31,Phaeophyceae,Dictyopteris delicatula,Dictyopteris delicatula,dictyopterisdelicatula,aprovado,,sim
32,Phaeophyceae,Dictyota cervicornis,Dictyota cervicornis,dictyotacervicornis,aprovado,,sim
33,Phaeophyceae,D. menstrualis,Dictyota menstrualis,dictyotamenstrualis,aprovado,,sim
34,Phaeophyceae,D. sp.,Dictyota sp.,dictyotasp,revisar,epiteto_indeterminado,sim
35,Phaeophyceae,Feldmania irregularis,Feldmania irregularis,feldmaniairregularis,aprovado,,sim
36,Phaeophyceae,Hincksia mitchelliae,Hincksia mitchelliae,hincksiamitchelliae,aprovado,,sim
37,Phaeophyceae,Levringia brasiliensis,Levringia brasiliensis,levringiabrasiliensis,aprovado,,sim
38,Phaeophyceae,Lobofora variegata,Lobofora variegata,loboforavariegata,aprovado,,sim
39,Phaeophyceae,Padina gymnospora,Padina gymnospora,padinagymnospora,aprovado,,sim
40,Phaeophyceae,Sargassum filipendula,Sargassum filipendula,sargassumfilipendula,aprovado,,sim
41,Phaeophyceae,S. stenophylum,Sargassum stenophylum,sargassumstenophylum,aprovado,,sim
42,Phaeophyceae,S. vulgare,Sargassum vulgare,sargassumvulgare,aprovado,,sim
43,Phaeophyceae,Spatoglossum schroederi,Spatoglossum schroederi,spatoglossumschroederi,aprovado,,sim
44,Phaeophyceae,Sphacelaria brachygonia,Sphacelaria brachygonia,sphacelariabrachygonia,aprovado,,sim
45,Phaeophyceae,S. sp.,Sphacelaria sp.,sphacelariasp,revisar,epiteto_indeterminado,sim
46,Phaeophyceae,S. tribuloides.+2,Sphacelaria tribuloides,sphacelariatribuloides,aprovado,,sim
47,Rhodophyta,Acanthophora spicifera,Acanthophora spicifera,acanthophoraspicifera,aprovado,,sim
48,Rhodophyta,Acrochaetium codicola,Acrochaetium codicola,acrochaetiumcodicola,aprovado,,sim
49,Rhodophyta,Aghardhiella subulata,Agardhiella subulata,agardhiellasubulata,aprovado,,sim
50,Rhodophyta,Aglaothamniom felliponei,Aglaothamnion felipponei,aglaothamnionfelipponei,aprovado,,sim
51,Rhodophyta,A. uruguayense,Aglaothamnion uruguayense,aglaothamnionuruguayense,aprovado,,sim
52,Rhodophyta,Amphiroa beauvoisii,Amphiroa beauvoisii,amphiroabeauvoisii,aprovado,,sim
53,Rhodophyta,A. fragilissima,Amphiroa fragilissima,amphiroafragilissima,aprovado,,sim
54,Rhodophyta,Arthrocardia flabelata,Arthrocardia flabellata,arthrocardiaflabellata,aprovado,,sim
55,Rhodophyta,A. gardneri,Arthrocardia gardneri,arthrocardiagardneri,aprovado,,sim
56,Rhodophyta,Asparagopsis taxiformis,Asparagopsis taxiformis,asparagopsistaxiformis,aprovado,,sim
57,Rhodophyta,B. radicans,Bostrychia radicans,bostrychiaradicans,aprovado,,sim
58,Rhodophyta,Bostrychia tenella,Bostrychia tenella,bostrychiatenella,aprovado,,sim
59,Rhodophyta,Bryocladia thyrsigera,Bryocladia thyrsigera,bryocladiathyrsigera,aprovado,,sim
60,Rhodophyta,Bryothamniom seaforthii,Bryothamnion seaforthii,bryothamnionseaforthii,aprovado,,sim
